Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Debt_To_Income_Ratio,Dependents,Approved
19,31,762,33,40,0.9806112012539087,1,0
64,68,362,29,19,0.6662613026613708,1,0
31,83,430,97,20,0.24670540727502854,5,0
66,190,356,83,11,0.0650392993507033,2,0
35,63,673,51,24,0.26682176673905955,0,1
70,35,386,14,30,0.10247026632558398,5,0
63,121,634,19,1,0.15726344724733732,3,1
31,194,675,78,28,0.9577034132432962,2,0
43,105,797,84,9,0.25919314918766523,5,1
32,41,434,30,39,0.6857221062641092,5,0
60,150,526,21,16,0.4507246091045378,1,0
68,101,802,54,20,0.23266917002726495,1,1
26,130,437,69,6,0.9946292879915534,3,0
51,149,637,77,19,0.0857727560872884,2,1
26,96,466,69,28,0.9483265830361624,1,0
54,47,764,61,27,0.6731778691606303,1,0
21,76,629,47,8,0.4302856262487571,2,1
41,126,512,86,3,0.30539117137160443,5,0
69,89,677,28,20,0.7378323605059232,1,0
36,32,694,25,10,0.646260944632236,2,0
67,70,368,26,34,0.17596131866098563,4,0
63,105,522,68,28,0.9686995467436516,1,0
24,40,827,55,19,0.6580988848075032,1,0
65,93,775,38,34,0.26271801768318326,4,1
70,115,834,10,5,0.004940305004957235,0,1
63,129,663,98,0,0.6838251043580197,4,1
41,46,420,14,33,0.6530559079950671,4,0
40,110,452,39,8,0.7102822844905679,1,0
47,120,308,19,11,0.3665117555589056,5,0
32,157,671,7,14,0.1907815700915636,2,1
55,44,549,68,26,0.8372099102892684,3,0
19,82,516,35,9,0.10347922665377307,3,0
32,166,796,63,24,0.07457352324998068,4,1
58,131,589,36,1,0.4513898988339974,1,0
29,190,330,78,4,0.773502769547162,2,0
47,168,723,87,0,0.8379535544990658,3,1
57,114,385,51,16,0.09953566111081602,0,0
44,102,438,90,24,0.26451621858529195,4,0
20,71,411,21,34,0.9373626722750439,0,0
21,185,369,19,26,0.7619486989401476,0,0
40,74,346,94,1,0.6208025217731528,5,0
41,75,610,8,7,0.027935804457383417,5,0
70,90,710,55,8,0.6590598504959515,0,0
53,48,446,21,38,0.7922361672442688,1,0
36,135,672,6,25,0.5935961349482209,5,0
53,138,659,78,17,0.7705470447678606,5,0
49,175,563,69,28,0.13258609640495878,5,0
34,191,728,28,27,0.5023654889227102,0,0
25,83,620,50,1,0.9941656322935339,0,0
38,156,309,56,4,0.6218745609820004,2,0
19,180,367,25,40,0.6052172840290415,0,0
19,119,586,39,12,0.8437913444665007,1,0
40,168,516,55,18,0.6522968835966276,3,0
28,174,761,23,38,0.24189630405944795,0,1
63,118,526,24,37,0.37202888937023126,5,0
64,191,599,74,14,0.7901579705694478,0,0
49,28,758,73,31,0.5030441163645629,0,0
26,89,552,68,12,0.1493794786378264,0,0
68,146,400,80,10,0.723275940490771,2,0
62,160,519,49,3,0.10066638651934301,3,0
24,150,656,27,38,0.1772352741402924,2,1
26,34,591,20,0,0.6267694617578073,3,0
32,127,551,45,31,0.43699657573815,1,0
56,30,307,5,13,0.39370542292900446,2,0
64,113,673,74,32,0.845362156580513,3,0
32,142,479,42,19,0.8978669319420002,5,1
40,173,753,51,11,0.2407411381156198,4,1
66,38,392,100,19,0.5869584351538735,0,0
23,108,332,53,2,0.06981269084833697,2,0
52,41,775,48,9,0.5064113070221608,2,0
54,196,345,10,5,0.7612527525932331,2,0
21,107,307,21,33,0.02027137268275836,0,0
60,104,446,76,10,0.0714062735057901,4,0
33,26,618,73,35,0.769603305350733,0,0
34,25,308,59,24,0.5682718543000335,0,0
34,80,841,18,8,0.26925618259898143,2,1
25,164,832,40,5,0.2886600605848044,3,1
68,54,773,94,10,0.5962079625658703,4,0
21,63,767,97,12,0.6692578837073668,3,0
28,86,540,81,4,0.8413749661359962,0,0
49,68,603,52,16,0.8675843529684916,3,0
25,163,545,25,29,0.9485831396330012,4,0
51,55,672,94,24,0.22149814534298629,1,1
55,179,342,18,16,0.5076602078761498,3,0
67,174,485,60,16,0.22122906177531643,2,0
49,112,533,48,31,0.5779111725598561,3,0
25,65,602,81,36,0.48561165849448507,3,1
42,139,406,66,16,0.7126614363137032,5,0
65,196,848,64,7,0.5283235815583782,0,0
66,114,699,8,3,0.3293714896444426,4,1
35,149,395,82,24,0.9480525429208718,0,0
50,42,574,45,21,0.234160740101667,4,0
25,75,448,6,34,0.011092493524492486,3,0
32,119,333,6,21,0.8826719353006454,4,0
38,63,805,93,37,0.29311810323694876,0,1
53,109,419,75,34,0.8949072046821132,3,0
38,106,413,61,8,0.3404665926904077,0,0
28,99,620,96,9,0.6172662871336426,1,0
24,148,747,32,24,0.3453343161468275,1,1
47,181,506,51,11,0.231103024643998,5,0
53,63,449,51,7,0.33716960283431563,1,0
64,115,348,57,15,0.788617749307105,0,0
38,111,501,91,38,0.28844195223824654,1,0
54,29,431,68,18,0.624986650276338,4,0
66,131,315,9,34,0.10911264418557753,2,0
57,179,438,33,12,0.4490977254824927,4,0
19,100,552,20,32,0.014624043010017407,5,0
22,71,372,57,20,0.9497597947128548,1,0
64,111,668,8,19,0.4262047722893123,5,1
26,148,396,27,18,0.7132156464432498,5,0
18,164,571,100,2,0.1163402232441062,2,0
21,193,746,10,32,0.17964298231704134,1,1
26,23,410,69,23,0.7527816429608548,2,0
58,165,571,66,36,0.5685144133908892,1,0
40,155,609,100,37,0.6186415165462653,4,0
66,146,362,56,23,0.39990862996044063,1,0
18,21,822,29,16,0.27559261664396983,1,0
38,70,704,7,27,0.6170529931773886,0,0
59,91,836,42,2,0.9170242523778372,0,0
40,149,316,52,10,0.18364384986839744,0,0
49,198,549,84,29,0.6658456035860639,4,1
49,62,690,88,22,0.8830658080886833,2,0
66,120,483,57,16,0.5536730416796108,2,0
18,43,324,72,11,0.8617697101703937,4,0
46,165,572,21,35,0.1738014889452303,2,0
52,35,432,23,40,0.31497220055072694,2,0
27,66,376,10,32,0.5057936004529816,2,0
54,129,417,60,26,0.016777714265544974,0,0
64,60,482,11,14,0.8233837175040588,2,0
35,61,762,71,20,0.40495248580980037,4,1
69,174,307,60,30,0.9854203500012166,3,0
30,197,805,27,4,0.24415965623062186,2,1
58,53,427,34,2,0.8558757799192603,5,0
35,46,474,82,31,0.5394094612799865,2,0
68,173,504,46,33,0.21646017389728966,5,0
64,174,847,32,4,0.19008879216420327,4,1
24,114,695,85,31,0.8007637865715582,2,0
54,194,819,24,29,0.2948563127002356,0,1
37,114,328,21,7,0.897558409886164,5,0
38,193,675,69,25,0.5877182834004182,2,0
58,88,484,25,36,0.8010527747728287,5,0
63,163,555,57,27,0.23506100501004135,5,0
32,91,568,77,18,0.4879801550832592,0,0
56,101,548,84,26,0.9203603139138601,0,0
31,129,658,70,34,0.010468573316502638,5,1
45,119,676,55,28,0.3029580811956363,5,1
50,175,509,34,25,0.42468515847225496,1,0
57,36,647,96,24,0.040600101920599596,2,0
19,68,695,56,16,0.2552560193687662,2,1
65,88,715,83,13,0.08960706039242117,1,1
45,71,349,46,33,0.312131223490555,1,0
52,34,698,23,14,0.9042103136067927,4,0
70,135,574,20,15,0.031031032544945436,2,0
38,42,784,49,19,0.6985914185865233,3,0
26,69,679,15,4,0.1296365021474264,5,1
54,101,833,86,4,0.39560047485584826,5,1
45,160,337,24,29,0.6600660016334998,0,0
69,44,335,62,38,0.12161945871355617,4,0
52,98,572,10,15,0.45316809230139976,2,0
39,75,842,33,38,0.44458090301506525,0,1
45,96,506,93,26,0.4802072077214363,1,0
54,183,847,74,35,0.35039233424692584,2,1
22,172,391,42,0,0.41336339594394467,3,0
25,117,463,85,18,0.25781947708681785,2,0
36,133,685,31,24,0.161886823356587,5,1
34,198,445,99,7,0.9798083992381831,1,0
48,77,714,21,37,0.28249855017285197,1,1
22,69,700,80,28,0.5366884118627729,3,0
22,194,374,32,35,0.042753537749293025,4,0
46,56,406,35,23,0.37163381257274786,0,0
29,141,670,14,28,0.829573052819695,1,0
29,105,306,31,30,0.6251618113680982,0,0
21,103,796,83,0,0.43835565352031636,5,1
43,174,503,16,36,0.9785963339129832,4,0
59,48,343,89,38,0.2392000411693307,2,0
44,139,355,11,7,0.3343387804152357,1,0
70,198,575,51,20,0.17314856118629407,2,0
46,176,644,46,0,0.9654439868773501,4,0
42,198,520,26,35,0.6923409439126125,2,1
33,72,552,51,36,0.9952802413139549,1,0
28,76,559,52,15,0.4573366800158083,3,0
59,191,757,63,19,0.720945673670826,3,0
25,181,327,30,22,0.6936002228467437,5,0
35,59,626,28,6,0.4660657843187356,2,1
25,195,493,21,19,0.33576889921179076,2,0
45,36,607,55,15,0.5409203070273668,2,0
25,81,712,52,34,0.13639003964285845,5,1
44,45,472,85,2,0.9217992290133329,2,0
62,132,312,32,27,0.9126293113764777,1,0
36,159,510,67,27,0.32660288026197704,3,0
28,135,342,92,30,0.7269409439386563,5,0
59,88,551,38,10,0.47946394458432795,3,0
37,182,523,73,37,0.25291941331396806,5,0
27,165,716,94,38,0.8730873952146897,0,1
36,126,594,28,1,0.9231323193405726,0,0
66,101,419,55,10,0.19018652691019278,1,0
30,183,359,19,17,0.34463822054629834,5,0
47,95,314,99,2,0.3287937599934202,2,0
70,91,469,22,40,0.1771450339292111,1,0
31,43,783,9,32,0.9799402545648044,3,0
37,191,432,40,39,0.1590442470992416,5,0
52,101,387,42,35,0.2616490132446003,5,0
34,155,375,75,13,0.18805714371553095,4,0
39,157,589,45,30,0.7105106495310913,4,0
36,41,347,85,34,0.9542168168347068,4,0
29,130,839,46,30,0.19315710326965474,1,1
41,103,769,62,18,0.43972863766353476,0,1
53,119,416,26,15,0.8566151283141212,1,0
63,121,645,15,0,0.6481401228647609,3,0
57,68,742,92,36,0.9116844357070274,4,0
25,77,724,73,8,0.7099551052298295,3,0
62,56,497,67,8,0.04734386454943995,1,0
51,140,535,51,20,0.876901467830728,4,0
59,113,782,75,3,0.5948083157798915,0,0
18,170,377,23,3,0.4541255758520417,5,1
37,72,708,82,37,0.07940295510267958,4,1
42,168,330,74,29,0.48803324648521085,2,0
62,171,486,12,26,0.7370843581589864,3,0
70,79,410,12,8,0.8760044134647508,4,0
45,175,454,33,28,0.5071918880181313,4,0
48,77,801,90,22,0.5919725928760583,1,0
28,36,378,80,1,0.7989768900390586,4,0
41,151,752,14,38,0.5935677567490424,3,0
19,150,676,50,30,0.7940591315727352,3,0
55,96,768,77,20,0.9957803944681345,0,0
66,34,314,65,18,0.7709156460354234,3,0
33,98,405,82,21,0.7857707197298583,1,0
69,200,838,60,23,0.4124821992692763,4,1
30,42,517,77,25,0.2126920607701298,2,0
20,151,749,49,3,0.5991013556195962,4,0
33,47,840,56,26,0.02037714708023164,5,0
39,132,522,58,21,0.666825343811151,4,0
